"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL3114561";"";"";"Small molecule";"";"423.47";"3";"4";"-0.14";"162.59";"10";"5";"0";"10";"N";"0.33";"10.23";"0.85";"-0.03";"-0.03";"2";"MOL";"-1";"30";"11";"5";"1";"423.2118";"0.37";"NEUTRAL";"C19H29N5O6";"CCCCCCCCNc1nc(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2c(=O)[nH]1";"VEUAADCZTOMLQO-XKLVTHTNSA-N"
"CHEMBL221542";"BETA-SITOSTEROL";"b-Sitosterol|beta-Sitosterol";"Small molecule";"";"414.72";"138";"332";"8.02";"20.23";"1";"1";"1";"6";"N";"0.44";"None";"None";"7.84";"7.84";"0";"MOL";"-1";"30";"1";"1";"1";"414.3862";"2.68";"NEUTRAL";"C29H50O";"CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C";"KZJWDPNRJALLNS-VJSFXXLFSA-N"
"CHEMBL1971815";"";"";"Small molecule";"";"383.43";"26";"31";"2.76";"78.86";"8";"0";"0";"6";"N";"0.51";"None";"None";"4.10";"4.10";"4";"MOL";"-1";"27";"7";"0";"0";"383.0940";"-1.95";"NEUTRAL";"C19H17N3O4S";"CCOc1ccc(/C=c2\sc3nc(-c4ccco4)nn3c2=O)cc1OCC";"OVDRODOYHTZPRU-WJDWOHSUSA-N"
"CHEMBL1566266";"";"";"Small molecule";"";"392.44";"48";"60";"4.43";"94.05";"7";"1";"0";"6";"N";"0.49";"13.77";"None";"3.68";"3.68";"4";"MOL";"-1";"28";"7";"1";"0";"392.0943";"-2.07";"NEUTRAL";"C20H16N4O3S";"Cc1ccccc1NC(=O)CSc1nnc(-c2ccco2)c(-c2ccco2)n1";"NNUXUSGXSYIHMS-UHFFFAOYSA-N"
"CHEMBL1387835";"";"";"Small molecule";"";"524.62";"31";"56";"4.18";"87.37";"6";"2";"1";"6";"N";"0.29";"1.10";"13.36";"5.15";"3.27";"3";"MOL";"-1";"37";"8";"1";"1";"524.1894";"-0.53";"ZWITTERION";"C27H29FN4O4S";"COc1c(N2CCN(C(S)=NCc3ccccc3)C(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12";"RJUHANIGRUFSBE-UHFFFAOYSA-N"
"CHEMBL288293";"";"";"Small molecule";"";"562.72";"1";"1";"8.21";"83.98";"6";"2";"2";"7";"N";"0.21";"13.40";"2.55";"7.83";"7.83";"6";"MOL";"-1";"40";"6";"2";"2";"562.1497";"-1.20";"NEUTRAL";"C32H26N4O2S2";"Cc1ccc2nc(-c3ccc(NC(=O)CCC(=O)Nc4ccc(-c5nc6ccc(C)cc6s5)cc4)cc3)sc2c1";"DEGKECCGJKZWGN-UHFFFAOYSA-N"
"CHEMBL1991888";"";"";"Small molecule";"";"356.28";"32";"47";"3.46";"56.65";"3";"3";"0";"3";"N";"0.34";"6.75";"0.92";"3.97";"3.25";"1";"MOL";"-1";"22";"4";"3";"0";"355.0313";"-1.37";"NEUTRAL";"C15H15Cl2N3OS";"Oc1c(Cl)cc(Cl)cc1/C=N/NC(=S)NC1CC2C=CC1C2";"ZUCDYGYJQSHVOW-CNHKJKLMSA-N"
"CHEMBL2059289";"";"3-O-Angeloylhamaudol";"Small molecule";"";"358.39";"2";"5";"3.40";"85.97";"6";"1";"0";"2";"N";"0.65";"7.19";"None";"4.38";"3.97";"2";"MOL";"-1";"26";"6";"1";"0";"358.1416";"2.93";"NEUTRAL";"C20H22O6";"C/C=C(/C)C(=O)O[C@H]1Cc2c(cc3oc(C)cc(=O)c3c2O)OC1(C)C";"GLVOOJKVWKZSGR-DIEDAUMRSA-N"
"CHEMBL260553";"";"Gamma-Mangostin";"Small molecule";"";"396.44";"40";"83";"4.79";"111.13";"6";"4";"0";"4";"N";"0.29";"7.12";"None";"5.85";"5.28";"3";"MOL";"-1";"29";"6";"4";"0";"396.1573";"1.84";"NEUTRAL";"C23H24O6";"CC(C)=CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O";"VEZXFTKZUMARDU-UHFFFAOYSA-N"
"CHEMBL1543865";"";"NSC-367089";"Small molecule";"";"372.22";"37";"54";"4.57";"58.56";"3";"2";"0";"3";"N";"0.71";"7.69";"None";"4.36";"4.19";"3";"MOL";"-1";"23";"4";"2";"0";"371.0157";"-0.92";"NEUTRAL";"C18H14BrNO3";"COc1ccccc1NC(=O)c1cc2cc(Br)ccc2cc1O";"JIEINYQEXWLMCU-UHFFFAOYSA-N"
"CHEMBL125475";"";"";"Small molecule";"";"309.37";"8";"19";"1.97";"65.20";"3";"2";"0";"4";"N";"0.72";"None";"7.81";"3.29";"2.74";"3";"MOL";"-1";"23";"5";"2";"0";"309.1477";"-0.79";"NEUTRAL";"C18H19N3O2";"CN(C)CCNC(=O)c1cccc2c(=O)c3ccccc3[nH]c12";"PYNUPZKQDKYVMH-UHFFFAOYSA-N"
"CHEMBL504459";"NOGALAMYCIN";"NOGALAMYCIN|NSC-70845|U 15167|U-15167";"Small molecule";"-1.0";"787.81";"5";"11";"1.14";"229.44";"17";"5";"2";"7";"N";"0.21";"7.56";"6.71";"2.22";"2.20";"2";"MOL";"0";"56";"17";"5";"2";"787.3051";"2.31";"NEUTRAL";"C39H49NO16";"COC(=O)[C@@H]1c2cc3c(c(O)c2[C@@H](O[C@@H]2O[C@@H](C)[C@H](OC)[C@@](C)(OC)[C@H]2OC)C[C@]1(C)O)C(=O)c1c(O)cc2c(c1C3=O)O[C@@H]1O[C@@]2(C)[C@H](O)[C@@H](N(C)C)[C@@H]1O";"KGTDRFCXGRULNK-JYOBTZKQSA-N"
"CHEMBL398463";"RTP";"RTP|Ribavirin 5'-Triphosphate|Ribavirin Triphosphate";"Small molecule";"-1.0";"484.14";"4";"14";"-2.66";"283.31";"13";"7";"2";"9";"N";"0.18";"0.90";"None";"-3.40";"-10.60";"1";"MOL";"0";"29";"18";"8";"2";"483.9798";"0.98";"ACID";"C8H15N4O14P3";"NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)n1";"MMJOCKKLRMRSEQ-AFCXAGJDSA-N"
"CHEMBL3103514";"";"";"Small molecule";"";"425.44";"4";"12";"5.72";"81.79";"6";"1";"1";"5";"N";"0.36";"7.95";"None";"5.60";"5.49";"5";"MOL";"-1";"32";"6";"1";"1";"425.1263";"-0.27";"NEUTRAL";"C26H19NO5";"COC(=O)c1cccc2oc(-c3ccc4c(OCc5ccccc5)cccc4c3O)nc12";"WAMNGLVTZOCZCT-UHFFFAOYSA-N"
"CHEMBL1399109";"";"";"Small molecule";"";"308.75";"36";"46";"3.84";"68.27";"5";"1";"0";"4";"N";"0.74";"7.75";"None";"2.89";"2.74";"3";"MOL";"-1";"20";"5";"1";"0";"308.0022";"-1.86";"NEUTRAL";"C13H9ClN2O3S";"O=C(CCl)Nc1nc(-c2ccco2)c(-c2ccco2)s1";"HZYXVMMMXAIHQN-UHFFFAOYSA-N"
"CHEMBL440665";"";"";"Small molecule";"";"548.61";"1";"1";"7.28";"115.56";"4";"4";"2";"6";"N";"0.17";"11.22";"5.46";"6.78";"6.77";"7";"MOL";"-1";"42";"8";"4";"2";"548.1961";"-0.78";"NEUTRAL";"C34H24N6O2";"O=C(Nc1ccc(-c2nc3ccccc3[nH]2)cc1)c1ccc(C(=O)Nc2ccc(-c3nc4ccccc4[nH]3)cc2)cc1";"LIKZPXRJRPYADG-UHFFFAOYSA-N"
"CHEMBL1381419";"";"";"Small molecule";"";"401.45";"34";"46";"4.05";"86.95";"6";"1";"0";"3";"N";"0.67";"None";"None";"4.28";"4.28";"3";"MOL";"-1";"29";"7";"1";"0";"401.0946";"-2.01";"NEUTRAL";"C21H15N5O2S";"Cc1ccc(-n2cccc2/C=C2\C(=N)N3N=C(c4ccco4)SC3=NC2=O)cc1";"IBMRCYPEIWVKBK-ISFDWQSPSA-N"
"CHEMBL455575";"";"";"Small molecule";"";"424.54";"3";"7";"6.48";"60.69";"3";"3";"1";"5";"N";"0.32";"9.52";"None";"7.55";"7.55";"4";"MOL";"-1";"32";"3";"3";"1";"424.2038";"0.09";"NEUTRAL";"C29H28O3";"CC(C)(c1ccc(O)cc1)c1ccc(C(C)(c2ccc(O)cc2)c2ccc(O)cc2)cc1";"WXYSZTISEJBRHW-UHFFFAOYSA-N"
"CHEMBL1481914";"";"";"Small molecule";"";"477.50";"55";"81";"4.43";"107.04";"8";"1";"0";"5";"N";"0.45";"7.86";"None";"2.77";"2.65";"4";"MOL";"-1";"34";"9";"1";"0";"477.0995";"-1.86";"NEUTRAL";"C24H19N3O6S";"O=C(Nc1nc(-c2ccco2)c(-c2ccco2)s1)C1CC(=O)N(c2ccc3c(c2)OCCO3)C1";"JMORYDPFQCYQGK-UHFFFAOYSA-N"
"CHEMBL3892780";"";"";"Small molecule";"";"354.44";"2";"9";"3.82";"90.63";"7";"3";"0";"3";"N";"0.38";"9.05";"3.61";"4.54";"4.53";"3";"MOL";"-1";"25";"6";"3";"0";"354.1150";"-1.41";"NEUTRAL";"C18H18N4O2S";"C/C(=N\Nc1ncnc2sc3c(c12)CCCC3)c1cc(O)ccc1O";"IMZXEXALIANGGH-UFFVCSGVSA-N"
"CHEMBL1587683";"";"";"Small molecule";"";"460.44";"31";"42";"4.53";"115.24";"8";"1";"0";"6";"N";"0.42";"7.56";"None";"2.83";"2.60";"4";"MOL";"-1";"34";"9";"1";"0";"460.1271";"-1.16";"NEUTRAL";"C25H20N2O7";"COc1ccc(OC)c(C2C(C(=O)c3cc4ccccc4o3)=C(O)C(=O)N2c2cc(C)on2)c1";"PBOVAJABGWDCAP-UHFFFAOYSA-N"
"CHEMBL451532";"NARINGIN";"Naringin";"Small molecule";"";"580.54";"47";"97";"-1.17";"225.06";"14";"8";"3";"6";"N";"0.20";"8.58";"None";"-0.16";"-0.18";"2";"MOL";"-1";"41";"14";"8";"3";"580.1792";"2.25";"NEUTRAL";"C27H32O14";"C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O";"DFPMSGMNTNDNHN-ZPHOTFPESA-N"
"CHEMBL1492622";"";"";"Small molecule";"";"478.60";"26";"33";"4.85";"100.92";"8";"1";"0";"7";"N";"0.30";"11.10";"None";"4.69";"4.69";"4";"MOL";"-1";"33";"7";"1";"0";"478.1133";"-2.34";"NEUTRAL";"C24H22N4O3S2";"CC(C)C(C)(C#N)NC(=O)CSc1nc2scc(-c3ccco3)c2c(=O)n1-c1ccccc1";"RQWNNDPAGKAWCK-UHFFFAOYSA-N"
"CHEMBL2023684";"";"";"Small molecule";"";"265.31";"2";"2";"3.32";"42.23";"2";"1";"0";"4";"N";"0.79";"4.62";"None";"3.66";"0.95";"3";"MOL";"-1";"20";"3";"1";"0";"265.1103";"-0.91";"ACID";"C17H15NO2";"O=C(O)Cc1cn(Cc2ccccc2)c2ccccc12";"IJQCTDRIUVFCMB-UHFFFAOYSA-N"
"CHEMBL1494390";"";"";"Small molecule";"";"375.22";"55";"75";"3.81";"63.60";"4";"1";"0";"5";"N";"0.64";"8.78";"None";"4.08";"4.07";"2";"MOL";"-1";"23";"4";"1";"0";"374.0154";"-0.13";"NEUTRAL";"C18H15BrO4";"CCOc1ccc(/C=C/C(=O)c2cc(Br)ccc(=O)c2O)cc1";"QHTVWVPIFXIBKA-WEVVVXLNSA-N"
"CHEMBL3198103";"";"";"Small molecule";"";"449.53";"9";"11";"3.30";"82.79";"8";"0";"0";"8";"N";"0.38";"None";"None";"5.29";"5.29";"4";"MOL";"-1";"32";"7";"0";"0";"449.1409";"-1.26";"NEUTRAL";"C24H23N3O4S";"CCCCCOc1ccc(/C=c2\sc3nc(=O)c(-c4ccccc4)nn3c2=O)cc1OC";"UOVILEBZFVLBKD-HKWRFOASSA-N"
"CHEMBL1771767";"";"";"Small molecule";"";"323.36";"1";"1";"2.49";"89.03";"6";"2";"0";"5";"N";"0.70";"9.66";"8.44";"1.17";"0.33";"3";"MOL";"-1";"24";"7";"2";"0";"323.1382";"-1.85";"NEUTRAL";"C17H17N5O2";"CCOc1ccc2c(NNC(=O)c3cnccn3)cc(C)nc2c1";"ZBFDHLBANYDXKD-UHFFFAOYSA-N"
"CHEMBL1595235";"";"";"Small molecule";"";"277.37";"54";"77";"3.73";"42.57";"5";"0";"0";"4";"N";"0.62";"None";"None";"4.02";"4.02";"1";"MOL";"-1";"18";"3";"0";"0";"277.0231";"-1.17";"NEUTRAL";"C13H11NO2S2";"C=CCSC1=N/C(=C\C=C\c2ccco2)C(=O)S1";"CPXSSTSRVQBMDA-PGACXJNKSA-N"
"CHEMBL55415";"SCUTELLAREIN";"5,6,7,4'-Tetrahydroxyflavone|6-Hydroxyapigenin|Scutellarein";"Small molecule";"";"286.24";"55";"177";"2.28";"111.13";"6";"4";"0";"1";"N";"0.51";"6.75";"None";"2.40";"1.63";"3";"MOL";"-1";"21";"6";"4";"0";"286.0477";"1.45";"NEUTRAL";"C15H10O6";"O=c1cc(-c2ccc(O)cc2)oc2cc(O)c(O)c(O)c12";"JVXZRQGOGOXCEC-UHFFFAOYSA-N"
"CHEMBL1346055";"";"";"Small molecule";"";"407.81";"40";"55";"3.93";"91.64";"4";"2";"0";"4";"N";"0.51";"4.64";"None";"3.70";"1.00";"3";"MOL";"-1";"29";"7";"2";"0";"407.0673";"-1.49";"ACID";"C21H14ClN3O4";"O=C(O)c1ccc(-n2cccc2/C=C2/NC(=O)N(c3cccc(Cl)c3)C2=O)cc1";"IKVPOLNVUFKFCV-LDADJPATSA-N"
"CHEMBL3427782";"";"";"Small molecule";"";"199.25";"1";"2";"2.94";"35.25";"2";"1";"0";"3";"Y";"0.82";"None";"9.26";"2.60";"0.76";"2";"MOL";"-1";"15";"2";"2";"0";"199.0997";"-0.38";"BASE";"C13H13NO";"NCc1ccc(Oc2ccccc2)cc1";"CCAZAGUSBMVSAR-UHFFFAOYSA-N"
"CHEMBL290928";"";"";"Small molecule";"";"556.67";"1";"1";"7.69";"115.56";"4";"4";"2";"11";"N";"0.12";"11.22";"5.47";"6.87";"6.87";"6";"MOL";"-1";"42";"8";"4";"2";"556.2587";"-0.67";"NEUTRAL";"C34H32N6O2";"O=C(CCCCCCC(=O)Nc1ccc(-c2nc3ccccc3[nH]2)cc1)Nc1ccc(-c2nc3ccccc3[nH]2)cc1";"SJPALLMLIVXDRU-UHFFFAOYSA-N"
"CHEMBL1771801";"";"";"Small molecule";"";"363.42";"1";"2";"3.06";"89.03";"6";"2";"0";"5";"N";"0.68";"9.67";"8.57";"2.33";"1.41";"3";"MOL";"-1";"27";"7";"2";"0";"363.1695";"-1.55";"BASE";"C20H21N5O2";"CCOc1ccc2c(NNC(=O)c3cnccn3)c3c(nc2c1)CCCC3";"MKRBSSQZZJBYMP-UHFFFAOYSA-N"
"CHEMBL4553330";"";"";"Unknown";"";"459.91";"1";"1";"4.05";"80.20";"5";"2";"0";"2";"N";"0.27";"7.44";"None";"4.54";"4.26";"4";"MOL";"-1";"32";"6";"2";"0";"459.0444";"-1.28";"NEUTRAL";"C24H14ClN3O3S";"O=C1NC(=S)NC(=O)C1=Cc1cn(C(=O)c2cccc3ccccc23)c2ccc(Cl)cc12";"ZOOFLYZFQPANJL-UHFFFAOYSA-N"
"CHEMBL3114564";"";"";"Small molecule";"";"507.63";"3";"6";"2.20";"162.59";"10";"5";"1";"16";"N";"0.21";"10.23";"0.85";"2.64";"2.64";"2";"MOL";"-1";"36";"11";"5";"2";"507.3057";"0.31";"NEUTRAL";"C25H41N5O6";"CCCCCCCCCCCCCCNc1nc(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2c(=O)[nH]1";"SCMWIUGMIDFQBR-FGSUIDRYSA-N"
"CHEMBL3103515";"";"";"Small molecule";"";"425.44";"4";"12";"5.72";"81.79";"6";"1";"1";"5";"N";"0.36";"7.96";"None";"5.60";"5.50";"5";"MOL";"-1";"32";"6";"1";"1";"425.1263";"-0.26";"NEUTRAL";"C26H19NO5";"COC(=O)c1cccc2oc(-c3ccc4ccc(OCc5ccccc5)cc4c3O)nc12";"HYZDHEKBTJWEJJ-UHFFFAOYSA-N"
"CHEMBL551131";"";"";"Small molecule";"";"417.37";"1";"2";"3.73";"144.15";"8";"4";"0";"4";"N";"0.37";"7.12";"None";"3.88";"3.40";"4";"MOL";"-1";"31";"8";"4";"0";"417.0849";"0.46";"NEUTRAL";"C23H15NO7";"N#Cc1cccc(COc2cc(O)c3c(=O)c(O)c(-c4ccc(O)c(O)c4)oc3c2)c1";"JBMZSOUKPAAEJU-UHFFFAOYSA-N"
"CHEMBL1527520";"";"";"Small molecule";"";"231.25";"60";"87";"1.93";"69.56";"3";"3";"0";"1";"N";"0.51";"4.01";"1.75";"1.59";"-1.57";"1";"MOL";"-1";"17";"4";"3";"0";"231.0895";"0.51";"ACID";"C13H13NO3";"O=C(O)C1Nc2c(O)cccc2C2C=CCC12";"VQPJWSZWDZNVOJ-UHFFFAOYSA-N"
"CHEMBL4068770";"";"";"Small molecule";"";"480.66";"2";"4";"1.34";"98.82";"6";"2";"0";"12";"N";"0.45";"9.88";"7.23";"1.42";"1.19";"2";"MOL";"-1";"32";"8";"2";"0";"480.1865";"-1.03";"NEUTRAL";"C22H32N4O4S2";"O=S(=O)(NCCCN1CCN(CCCNS(=O)(=O)c2ccccc2)CC1)c1ccccc1";"XDMQGMNLCGWRAZ-UHFFFAOYSA-N"
"CHEMBL1372751";"";"";"Small molecule";"";"450.50";"41";"56";"5.11";"75.61";"6";"0";"1";"4";"N";"0.38";"None";"3.42";"4.52";"4.52";"5";"MOL";"-1";"34";"7";"0";"1";"450.1692";"-1.39";"NEUTRAL";"C27H22N4O3";"O=C(c1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1)N1CCN(c2ccccc2)CC1";"RMYQRWHQORIKOK-UHFFFAOYSA-N"
"CHEMBL4061362";"";"";"Small molecule";"";"395.46";"2";"5";"5.33";"46.61";"3";"0";"1";"5";"N";"0.43";"None";"None";"5.17";"5.17";"3";"MOL";"-1";"30";"4";"0";"1";"395.1521";"-0.59";"NEUTRAL";"C26H21NO3";"CCOC(=O)c1ccc(/C=C2/C=C(c3ccccc3)N(c3ccccc3)C2=O)cc1";"WMEFVDKDYKKTEN-XLNRJJMWSA-N"
"CHEMBL1610160";"";"";"Small molecule";"";"428.49";"15";"18";"5.00";"79.73";"5";"1";"0";"6";"N";"0.56";"8.11";"2.33";"4.37";"4.30";"3";"MOL";"-1";"32";"6";"1";"0";"428.1736";"-1.14";"NEUTRAL";"C26H24N2O4";"COc1ccc(C(=O)C2=C(O)C(=O)N(c3ccccn3)C2c2ccc(C(C)C)cc2)cc1";"MMEKNTOZAXNHIM-UHFFFAOYSA-N"
"CHEMBL3976975";"";"";"Small molecule";"";"373.49";"2";"5";"4.95";"63.06";"6";"1";"0";"3";"N";"0.41";"12.05";"2.59";"5.69";"5.69";"4";"MOL";"-1";"27";"5";"1";"0";"373.1361";"-1.83";"NEUTRAL";"C21H19N5S";"C/C(=N\Nc1ncnc2sc3c(c12)CCCC3)c1ccc2ccccc2n1";"HLECSHAMXKHRIE-DHRITJCHSA-N"
"CHEMBL129795";"ISOLIQUIRITIGENIN";"Isoliquiritigenin";"Small molecule";"";"256.26";"160";"562";"2.70";"77.76";"4";"3";"0";"3";"N";"0.58";"7.11";"None";"3.63";"3.15";"2";"MOL";"-1";"19";"4";"3";"0";"256.0736";"0.70";"NEUTRAL";"C15H12O4";"O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O";"DXDRHHKMWQZJHT-FPYGCLRLSA-N"
"CHEMBL1323110";"";"";"Small molecule";"";"451.86";"19";"21";"4.48";"89.21";"6";"1";"0";"5";"N";"0.58";"9.05";"None";"3.15";"3.14";"3";"MOL";"-1";"32";"7";"1";"0";"451.0823";"-1.34";"NEUTRAL";"C24H18ClNO6";"O=C(C1=C(O)C(=O)N(Cc2ccco2)C1c1cccc(Cl)c1)c1ccc2c(c1)OCCO2";"MKAQNCQFDNJLCO-UHFFFAOYSA-N"
"CHEMBL4462427";"";"";"Unknown";"";"232.27";"4";"5";"1.86";"52.31";"6";"0";"0";"2";"N";"0.68";"None";"None";"1.69";"1.69";"3";"MOL";"-1";"16";"5";"0";"0";"232.0419";"-2.28";"NEUTRAL";"C10H8N4OS";"COc1ccccc1-c1nn2cnnc2s1";"REKQAJRZTIRZOR-UHFFFAOYSA-N"
"CHEMBL2368688";"";"";"Small molecule";"";"571.21";"1";"1";"-2.57";"329.00";"16";"9";"3";"8";"N";"0.15";"0.85";"6.78";"-4.76";"-10.15";"2";"MOL";"-1";"34";"20";"11";"3";"549.0175";"1.22";"ACID";"C11H17N7NaO13P3";"N=c1nc(N)c2ncn([C@H]3O[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)([O-])O)[C@H](O)[C@@H]3O)c2c(N)n1.[Na+]";"KYWDWYFJMOWHEY-YIIYFZTRSA-M"
"CHEMBL2059078";"";"6-O-Veratroyl Catalpol";"Small molecule";"";"526.49";"5";"12";"-1.71";"186.13";"13";"5";"2";"8";"N";"0.19";"12.20";"None";"-1.25";"-1.25";"1";"MOL";"-1";"37";"13";"5";"2";"526.1686";"2.38";"NEUTRAL";"C24H30O13";"COc1ccc(C(=O)O[C@H]2[C@@H]3C=CO[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]3[C@@]3(CO)O[C@@H]23)cc1OC";"JPLOCWOFCUFHBG-PIAIVMLOSA-N"
"CHEMBL3196732";"";"";"Small molecule";"";"417.47";"37";"41";"4.48";"88.20";"6";"1";"0";"6";"N";"0.36";"6.41";"2.70";"5.47";"4.82";"3";"MOL";"-1";"31";"7";"1";"0";"417.1689";"-1.34";"ACID";"C24H23N3O4";"O=[N+]([O-])c1cc(Cc2ccccc2)cc(/C=N/c2ccc(N3CCOCC3)cc2)c1O";"ZZLAGWORHMFDPQ-KOEQRZSOSA-N"
"CHEMBL405639";"";"";"Small molecule";"";"268.27";"7";"17";"2.56";"75.36";"4";"2";"0";"2";"N";"0.75";"8.45";"None";"2.12";"2.08";"3";"MOL";"-1";"20";"5";"2";"0";"268.0848";"-0.73";"NEUTRAL";"C15H12N2O3";"CNC(=O)c1cccc2oc(-c3ccccc3O)nc12";"FUPZHCZNKQQGBB-UHFFFAOYSA-N"
"CHEMBL44518";"";"";"Small molecule";"";"404.47";"1";"1";"4.36";"115.56";"4";"4";"0";"9";"N";"0.31";"8.59";"2.86";"4.19";"4.16";"4";"MOL";"-1";"30";"8";"4";"0";"404.1961";"-0.59";"NEUTRAL";"C22H24N6O2";"O=C(CCCCCCC(=O)Nc1nc2ccccc2[nH]1)Nc1nc2ccccc2[nH]1";"IPSDBPHSWRNEID-UHFFFAOYSA-N"
"CHEMBL4475987";"";"";"Unknown";"";"455.50";"1";"11";"3.41";"89.43";"6";"2";"0";"3";"N";"0.28";"7.44";"None";"3.78";"3.50";"4";"MOL";"-1";"33";"7";"2";"0";"455.0940";"-1.01";"NEUTRAL";"C25H17N3O4S";"COc1ccc2c(c1)c(C=C1C(=O)NC(=S)NC1=O)cn2C(=O)c1ccc2ccccc2c1";"GCPQISXOFXGFJM-UHFFFAOYSA-N"
"CHEMBL463690";"LAMBERTIAINC ACID";"Lambertiainc Acid|Lambertianic Acid";"Small molecule";"";"316.44";"4";"10";"5.08";"50.44";"2";"1";"1";"4";"N";"0.79";"4.96";"None";"5.14";"2.73";"1";"MOL";"-1";"23";"3";"1";"1";"316.2038";"2.75";"ACID";"C20H28O3";"C=C1CC[C@@H]2[C@](C)(CCC[C@]2(C)C(=O)O)[C@H]1CCc1ccoc1";"ZQHJXKYYELWEOK-CUDHKJQZSA-N"
"CHEMBL2011808";"";"";"Small molecule";"";"241.29";"6";"11";"3.22";"67.15";"2";"3";"0";"2";"N";"0.71";"11.55";"3.91";"2.80";"2.80";"2";"MOL";"-1";"18";"4";"4";"0";"241.1215";"-1.82";"NEUTRAL";"C14H15N3O";"Cc1ccccc1NC(=O)Nc1cccc(N)c1";"IPFIMHAQYQWDJI-UHFFFAOYSA-N"
"CHEMBL4090115";"";"";"Small molecule";"";"580.78";"2";"4";"3.65";"98.82";"6";"2";"1";"12";"N";"0.25";"9.63";"7.22";"3.40";"3.18";"4";"MOL";"-1";"40";"8";"2";"1";"580.2178";"-0.87";"NEUTRAL";"C30H36N4O4S2";"O=S(=O)(NCCCN1CCN(CCCNS(=O)(=O)c2cccc3ccccc23)CC1)c1cccc2ccccc12";"GKGCNKYPSXYSAA-UHFFFAOYSA-N"
"CHEMBL53835";"";"";"Small molecule";"";"306.12";"4";"5";"2.52";"86.72";"5";"3";"0";"2";"N";"0.68";"4.81";"None";"2.70";"1.79";"1";"MOL";"-1";"18";"6";"3";"0";"304.9912";"-1.03";"ACID";"C11H8BrN5O";"Oc1[nH]c(Nc2ccc(Br)cc2)nc2ncnc1-2";"LAAOZGLNGLIEGP-UHFFFAOYSA-N"
"CHEMBL1909748";"";"";"Small molecule";"";"534.73";"3";"5";"5.91";"68.90";"5";"1";"2";"6";"N";"0.31";"7.84";"None";"7.09";"6.96";"4";"MOL";"-1";"30";"5";"1";"2";"533.9731";"-0.13";"NEUTRAL";"C23H16ClIO5";"O=c1cc(OCc2ccc(I)cc2)oc2ccc(OCc3cccc(Cl)c3)c(O)c12";"BYZIILQZTFKCEC-UHFFFAOYSA-N"
"CHEMBL1576490";"";"";"Small molecule";"";"331.37";"23";"24";"4.26";"47.89";"4";"0";"0";"5";"N";"0.61";"None";"None";"4.95";"4.95";"2";"MOL";"-1";"25";"4";"0";"0";"331.1208";"-0.32";"NEUTRAL";"C21H17NO3";"COc1ccccc1/C=C/C1=N/C(=C\C=C/c2ccccc2)C(=O)O1";"NRMFNYCMDKFRDD-AFQBDUBXSA-N"
"CHEMBL446271";"";"";"Small molecule";"";"799.82";"3";"6";"7.61";"199.53";"9";"5";"2";"10";"N";"0.09";"-3.19";"7.98";"3.98";"2.33";"5";"MOL";"-1";"52";"12";"5";"3";"755.1066";"-0.57";"ACID";"C37H27N3Na2O9S3";"O=S(=O)([O-])c1ccc(N=C2C=CC(=C(c3ccc(Nc4cccc(S(=O)(=O)[O-])c4)cc3)c3ccc(Nc4cccc(S(=O)(=O)O)c4)cc3)C=C2)cc1.[Na+].[Na+]";"MATAKDLGMPSHII-UHFFFAOYSA-L"
"CHEMBL1343163";"";"";"Small molecule";"";"388.38";"26";"30";"5.08";"101.54";"6";"1";"1";"6";"N";"0.49";"8.93";"None";"3.72";"3.71";"4";"MOL";"-1";"29";"7";"1";"1";"388.1059";"-1.30";"NEUTRAL";"C22H16N2O5";"CC(Oc1ccccc1)C(=O)Nc1oc(-c2ccco2)c(-c2ccco2)c1C#N";"LJQUHLGVZYCMOX-UHFFFAOYSA-N"
