"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL1486503";"";"";"Small molecule";"";"304.29";"71";"100";"2.35";"112.80";"6";"1";"0";"2";"N";"0.51";"None";"1.82";"1.19";"1.19";"1";"MOL";"-1";"21";"8";"1";"0";"304.0266";"-1.68";"NEUTRAL";"C12H8N4O4S";"CC1=CN2C(=N)/C(=C/c3ccc([N+](=O)[O-])o3)C(=O)N=C2S1";"RHGZIEVNZCTKMH-JGZRYLGSSA-N"
"CHEMBL287727";"";"";"Small molecule";"";"227.23";"5";"9";"1.75";"86.72";"5";"3";"0";"2";"N";"0.62";"4.81";"None";"1.93";"1.02";"1";"MOL";"-1";"17";"6";"3";"0";"227.0807";"-0.92";"ACID";"C11H9N5O";"Oc1[nH]c(Nc2ccccc2)nc2ncnc1-2";"JDCULXHGRMPCAM-UHFFFAOYSA-N"
"CHEMBL3967988";"";"";"Small molecule";"";"342.38";"2";"5";"2.35";"107.37";"7";"4";"0";"3";"N";"0.43";"8.50";"3.14";"4.02";"3.99";"3";"MOL";"-1";"24";"7";"4";"0";"342.0787";"-1.68";"NEUTRAL";"C16H14N4O3S";"O=C(NNc1ncnc2sc3c(c12)CCC3)c1cc(O)ccc1O";"HJJLUUSVJGQGRD-UHFFFAOYSA-N"
"CHEMBL1938663";"";"";"Small molecule";"";"380.86";"5";"8";"0.69";"124.52";"8";"5";"0";"3";"N";"0.39";"13.39";"3.07";"0.87";"0.87";"2";"MOL";"-1";"25";"7";"6";"1";"380.0710";"-0.27";"NEUTRAL";"C16H17ClN4O3S";"Nc1nc(Cl)c(C#Cc2ccsc2)c(N[C@@H]2C[C@H](CO)[C@@H](O)[C@H]2O)n1";"BZUSBTWLBKBUGB-JHEVNIALSA-N"
"CHEMBL3120361";"";"";"Small molecule";"";"281.31";"1";"1";"3.02";"62.46";"3";"2";"0";"4";"N";"0.77";"4.28";"None";"3.35";"0.37";"3";"MOL";"-1";"21";"4";"2";"0";"281.1052";"-0.72";"ACID";"C17H15NO3";"O=C(O)Cc1cn(Cc2cccc(O)c2)c2ccccc12";"APNFGBFWKVKYLG-UHFFFAOYSA-N"
"CHEMBL500176";"";"";"Small molecule";"";"617.92";"3";"6";"9.41";"98.66";"4";"4";"2";"9";"N";"0.10";"3.43";"0.43";"9.40";"2.81";"5";"MOL";"-1";"42";"6";"4";"2";"616.0723";"-0.56";"ACID";"C33H23Cl3N2O4";"O=C(O)c1cc(Nc2ccc(C(Cl)(c3ccccc3)c3ccc(Nc4ccc(Cl)c(C(=O)O)c4)cc3)cc2)ccc1Cl";"XBBQRUDAAHWPBS-UHFFFAOYSA-N"
"CHEMBL490830";"";"";"Small molecule";"";"328.37";"3";"5";"4.24";"61.96";"2";"2";"0";"2";"N";"0.54";"None";"None";"5.80";"5.80";"4";"MOL";"-1";"25";"4";"2";"0";"328.1212";"-0.87";"NEUTRAL";"C21H16N2O2";"Cc1ccccc1NC(=O)c1cccc2c(=O)c3ccccc3[nH]c12";"BHBNGDANQGUZJY-UHFFFAOYSA-N"
"CHEMBL3895122";"";"";"Small molecule";"";"358.43";"2";"5";"4.56";"78.85";"6";"2";"0";"3";"N";"0.37";"10.28";"4.19";"4.32";"4.32";"5";"MOL";"-1";"26";"6";"2";"0";"358.1001";"-1.62";"NEUTRAL";"C19H14N6S";"C/C(=N\Nc1ncnc2sc3ccccc3c12)c1nc2ccccc2[nH]1";"SZVBACDFPNTCDY-BHGWPJFGSA-N"
"CHEMBL1584828";"";"";"Small molecule";"";"452.47";"41";"51";"3.90";"101.39";"8";"0";"0";"4";"N";"0.40";"None";"3.20";"3.28";"3.28";"5";"MOL";"-1";"34";"9";"0";"0";"452.1597";"-1.54";"NEUTRAL";"C25H20N6O3";"O=C(c1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1)N1CCN(c2ncccn2)CC1";"GCUFCCWUCULDPW-UHFFFAOYSA-N"
"CHEMBL9352";"NARINGENIN";"NSC-11855";"Small molecule";"";"272.26";"168";"424";"2.51";"86.99";"5";"3";"0";"1";"N";"0.74";"7.86";"None";"2.84";"2.70";"2";"MOL";"-1";"20";"5";"3";"0";"272.0685";"1.76";"NEUTRAL";"C15H12O5";"O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21";"FTVWIRXFELQLPI-ZDUSSCGKSA-N"
